SourceIP,DestinationIP,SourcePort,DestinationPort,Flow'sProtocol,Number of Bytes Sent per Flow,Number of Bytes received per Flow
192.168.43.254,142.250.181.110,49368,443,UDP,1420,659
192.168.43.254,142.250.181.110,49368,443,UDP,1420,1420
142.250.181.110,192.168.43.254,443,49368,UDP,1420,1420
142.250.181.110,192.168.43.254,443,49368,UDP,1420,1420
142.250.181.110,192.168.43.254,443,49368,UDP,1420,1420
142.250.181.110,192.168.43.254,443,49368,UDP,1420,1420
142.250.181.110,192.168.43.254,443,49368,UDP,1420,1420
192.168.43.254,142.250.181.110,49368,443,UDP,895,1420
142.250.181.110,192.168.43.254,443,49368,UDP,20,1420
192.168.43.254,142.250.181.110,49368,443,UDP,20,1420
142.250.181.110,192.168.43.254,443,49368,UDP,20,1420
192.168.43.254,142.250.181.110,49368,443,UDP,20,1420
142.250.181.110,192.168.43.254,443,49368,UDP,41,1004
192.168.43.254,108.177.119.189,59346,443,UDP,20,1420
108.177.119.189,192.168.43.254,443,59346,UDP,20,1420
138.199.14.82,192.168.43.254,80,12858,TCP,20,1420
192.168.43.254,138.199.14.82,12858,80,TCP,20,1420
192.168.43.254,192.168.43.1,57357,53,UDP,1420,1420
192.168.43.254,192.168.43.1,57357,53,UDP,418,1420
192.168.43.1,192.168.43.254,53,57357,UDP,41,1420
192.168.43.254,20.189.173.10,13114,443,TCP,41,1420
20.189.173.10,192.168.43.254,443,13114,TCP,41,1420
192.168.43.254,20.189.173.10,13114,443,TCP,123,1420
192.168.43.254,20.189.173.10,13114,443,TCP,20,221
20.189.173.10,192.168.43.254,443,13114,TCP,20,1420
20.189.173.10,192.168.43.254,443,13114,TCP,20,450
192.168.43.254,20.189.173.10,13114,443,TCP,32,20
20.189.173.10,192.168.43.254,443,13114,TCP,20,20
192.168.43.254,20.189.173.10,13114,443,TCP,404,51
20.189.173.10,192.168.43.254,443,13114,TCP,1420,20
192.168.43.254,20.189.173.10,13114,443,TCP,1420,33
20.189.173.10,192.168.43.254,443,13114,TCP,1420,81
192.168.43.254,20.189.173.10,13114,443,TCP,265,20
20.189.173.10,192.168.43.254,443,13114,TCP,20,100
